Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2015","11","Bihar","10","16.0","Marhaura","GEN","Jai Ram Ray","MALE","46.0","GEN","BSP","4.0","10.0","245613.0","4505.0","140120.0","3.22","458.0","0.33","57.05","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Worli","GEN","Aslam Hanif Khot","MALE","49.0","GEN","IND","14.0","13.0","265091.0","128.0","148212.0","0.09","0.0","0.0","55.91","0.0","4.0"
"2012","12","Gujarat","24","12.0","Jamnagar Rural","GEN","Parmar Bhuralal Meghjibhai","MALE","58.0","GEN","IND","10.0","16.0","186173.0","715.0","135167.0","0.53","144.0","0.11","72.6","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Allahabad North","GEN","Ram Prakash","MALE","26.0","GEN","RJPK","16.0","16.0","354924.0","138.0","145138.0","0.1","0.0","0.0","40.89","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Akbarpur - Raniya","GEN","Balvan Singh","MALE","52.0","GEN","RLD","5.0","14.0","308135.0","1717.0","203207.0","0.84","526.0","0.26","65.95","0.0","4.0"
"2013","12","Chhattisgarh","22","3.0","Arang","SC","Shailendra Banjare Shaktiputra","MALE","38.0","SC","SSBD","11.0","10.0","176321.0","583.0","137094.0","0.43","0.0","0.0","77.75","0.0","4.0"
"2016","5","West Bengal","19","16.0","Magrahat Paschim","GEN","Md Rais Uddin Baidya","MALE","67.0","GEN","WPOI","5.0","10.0","201242.0","1427.0","172520.0","0.83","243.0","0.14","85.73","0.0","4.0"
"2016","5","West Bengal","19","16.0","Alipurduars","GEN","Biswa Ranjan Sarkar","MALE","67.0","GEN","INC","2.0","8.0","236134.0","77737.0","203446.0","38.21","57639.0","28.33","86.16","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Kasba Peth","GEN","Milind Ramakant Ekbote","MALE","52.0","GEN","ABHM","6.0","20.0","317093.0","1027.0","155587.0","0.66","351.0","0.23","49.07","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Ambattur","GEN","Ganesan N","MALE","47.0","GEN","IND","20.0","27.0","359345.0","117.0","229632.0","0.05","1.0","0.0","63.9","0.0","4.0"
"2020","11","Bihar","10","17.0","Kumhrarh","GEN","Rajesh Ranjan Pappu","MALE","40.0","GEN","JAPL","3.0","25.0","427427.0","4333.0","150744.0","2.87","2775.0","1.84","35.27","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Semariya","GEN","Rohit Tiwari","MALE","42.0","GEN","CPM","6.0","25.0","180683.0","2529.0","120551.0","2.1","822.0","0.68","66.72","0.0","4.0"
"2015","11","Bihar","10","16.0","Barhara","GEN","Aasha Devi","FEMALE","52.0","GEN","BJP","2.0","12.0","285928.0","51693.0","146612.0","35.26","38055.0","25.96","51.28","0.0","4.0"
"2019","10","Haryana","06","13.0","Pataudi","SC","Narender Singh Pahari","MALE","47.0","SC","IND","2.0","12.0","222465.0","24054.0","137194.0","17.53","4425.0","3.23","61.67","0.0","4.0"
"2016","5","Assam","18","14.0","Gauripur","GEN","Nijanur Rahman","MALE","43.0","GEN","AIUDF","1.0","11.0","179188.0","73423.0","160797.0","45.66","19911.0","12.38","89.74","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Hadgaon","GEN","Suresh Sitaram Jadhav","MALE","41.0","GEN","IND","4.0","15.0","231275.0","2137.0","161827.0","1.32","220.0","0.14","69.97","0.0","4.0"
"2016","5","Kerala","32","15.0","Thrissur","GEN","M Pradeepan","MALE","42.0","GEN","SUCI","9.0","9.0","172358.0","111.0","127191.0","0.09","37.0","0.03","73.79","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Maval","GEN","Bala Alias Sanjay Vishwanath Bhegade","MALE","33.0","GEN","BJP","1.0","9.0","280748.0","83158.0","183574.0","45.3","14318.0","7.8","65.39","0.0","4.0"
"2016","5","Puducherry","34","13.0","Oupalam","GEN","R Vijayakumar Baste","MALE","55.0","GEN","IND","9.0","14.0","26895.0","60.0","23545.0","0.25","28.0","0.12","87.54","0.0","4.0"
"2020","11","Bihar","10","17.0","Narkatiaganj","GEN","Manjeet Kumar Verma","MALE","54.0","GEN","RLSP","5.0","21.0","265561.0","2913.0","164615.0","1.77","862.0","0.52","61.99","0.0","4.0"
"2017","3","Punjab","03","15.0","Raja Sansi","GEN","Sharanjit Singh","MALE","40.0","GEN","IND","8.0","10.0","167203.0","478.0","132008.0","0.36","54.0","0.04","78.95","0.0","4.0"
"2018","3","Tripura","16","11.0","Karbook","ST","Nota","None","","ST","NOTA","4.0","6.0","34699.0","458.0","31972.0","1.43","242.0","0.76","92.14","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Baheri","GEN","Chinta Mani","MALE","50.0","GEN","IND","13.0","14.0","344388.0","316.0","247785.0","0.13","90.0","0.04","71.95","0.0","4.0"
"2015","3","Uttar Pradesh","09","16.0","Pharenda","GEN","Vinod","MALE","","GEN","SP","1.0","7.0","303960.0","64878.0","171641.0","37.8","9231.0","5.38","56.47","1.0","4.0"
"2009","10","Maharashtra","27","11.0","Arvi","GEN","Dadarao Yadavraoji Keche","MALE","55.0","GEN","BJP","1.0","11.0","231047.0","71694.0","155785.0","46.02","3130.0","2.01","67.43","0.0","4.0"
"2015","11","Bihar","10","16.0","Jale","GEN","Nota","None","","GEN","NOTA","5.0","13.0","285262.0","4566.0","148843.0","3.07","1599.0","1.07","52.18","0.0","4.0"
"2017","12","Gujarat","24","13.0","Kutiyana","GEN","Rathod Chandulal Mohanbhai","MALE","49.0","GEN","IND","9.0","12.0","199185.0","418.0","117895.0","0.35","173.0","0.15","59.19","0.0","4.0"
"2015","11","Bihar","10","16.0","Buxar","GEN","Surya Kumar Yadav","MALE","60.0","GEN","SP","20.0","29.0","277847.0","440.0","160594.0","0.27","42.0","0.03","57.8","0.0","4.0"
"2018","12","Telangana","36","2.0","Mudhole","GEN","Sharath Surya Vamshi","MALE","","GEN","IND","11.0","12.0","216784.0","701.0","183963.0","0.38","19.0","0.01","84.86","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Moradabad Rural","GEN","Anwer Ali","MALE","36.0","GEN","WPOI","14.0","20.0","305396.0","407.0","180626.0","0.23","12.0","0.01","59.14","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Gwalior East","GEN","Kapil Pal","MALE","28.0","GEN","IND","14.0","14.0","262764.0","108.0","143087.0","0.08","15.0","0.01","54.45","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Phulera","GEN","Nota","None","","GEN","NOTA","4.0","6.0","206798.0","2606.0","154258.0","1.69","1181.0","0.77","74.59","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Yavatmal","GEN","Dhale Manish Ramkrushna","MALE","41.0","GEN","IND","16.0","22.0","347558.0","369.0","202990.0","0.18","24.0","0.01","58.4","0.0","4.0"
"2015","2","Delhi","07","10.0","Trilokpuri","SC","Raju Dhingan","MALE","41.0","SC","AAAP","1.0","8.0","178214.0","74907.0","127778.0","58.62","29754.0","23.29","71.7","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Malad West","GEN","Soosairaj Babu Anthony Chetty","MALE","34.0","GEN","AIADMK","8.0","15.0","279017.0","1582.0","118735.0","1.33","96.0","0.08","42.55","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Udaipurwati","GEN","Rajendra Singh Naharsingh","MALE","37.0","GEN","IND","15.0","19.0","196498.0","312.0","146817.0","0.21","85.0","0.06","74.72","0.0","4.0"
"2015","2","Delhi","07","10.0","Chhatarpur","GEN","Amit Vaid","MALE","41.0","GEN","RLD","4.0","8.0","185092.0","627.0","124602.0","0.5","80.0","0.06","67.32","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Thandla","ST","Kasana Pargi","MALE","48.0","ST","IND","9.0","10.0","208780.0","1821.0","169065.0","1.08","211.0","0.12","80.98","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Thiruporur","GEN","G Rajamuthu","MALE","29.0","GEN","IND","5.0","15.0","192007.0","1367.0","158639.0","0.86","465.0","0.29","82.62","0.0","4.0"
"2012","3","Punjab","03","14.0","Rajpura","GEN","Sandeepa Kamboj","FEMALE","34.0","GEN","IND","12.0","12.0","146674.0","252.0","111371.0","0.23","0.0","0.0","75.93","0.0","4.0"
"2014","12","Jammu And Kashmir","01","10.0","Surankote","GEN","Nota","None","","GEN","NOTA","6.0","10.0","86084.0","375.0","65845.0","0.57","4.0","0.01","76.49","0.0","4.0"
"2013","5","Karnataka","29","9.0","Belthangady","GEN","Venkatesha Bende","MALE","41.0","GEN","JD(U)","7.0","7.0","193864.0","1276.0","146229.0","0.87","0.0","0.0","75.43","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Rampur Maniharan","SC","Vishva Dayal Chhotan","MALE","36.0","SC","INC","3.0","11.0","297983.0","61787.0","218831.0","28.24","60931.0","27.84","73.44","0.0","4.0"
"2012","12","Gujarat","24","12.0","Bhavnagar East","GEN","Paunda Geeta Chetan","FEMALE","37.0","GEN","IND","6.0","10.0","211903.0","739.0","144327.0","0.51","33.0","0.02","68.11","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Nagpur East","GEN","Mukesh Motiram Naonage","MALE","38.0","GEN","APoI","18.0","20.0","327400.0","186.0","184512.0","0.1","5.0","0.0","56.36","0.0","4.0"
"2018","5","Karnataka","29","10.0","Gauribidanur","GEN","Amjad Khan Nadim","MALE","","GEN","IND","13.0","13.0","200962.0","190.0","168670.0","0.11","29.0","0.02","83.93","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Sadar","GEN","Abhishesh","MALE","37.0","GEN","IND","11.0","13.0","324237.0","742.0","189249.0","0.39","43.0","0.02","58.37","0.0","4.0"
"2013","5","Karnataka","29","9.0","Koratagere","SC","M L Santhosh","MALE","34.0","SC","IND","5.0","13.0","181914.0","1388.0","152242.0","0.91","123.0","0.08","83.69","0.0","4.0"
"2013","5","Karnataka","29","9.0","Mandya","GEN","M P Munavar Shariff","MALE","55.0","GEN","IND","13.0","19.0","222941.0","279.0","152818.0","0.18","28.0","0.02","68.55","0.0","4.0"
"2018","12","Chhattisgarh","22","4.0","Bilha","GEN","Vijay Shankar Patre","MALE","","GEN","SP","12.0","29.0","266532.0","718.0","196363.0","0.37","34.0","0.02","73.67","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Alangulam","GEN","A Gnana Arul","MALE","41.0","GEN","IND","11.0","12.0","203826.0","228.0","165134.0","0.14","28.0","0.02","81.02","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Veerapandi","GEN","Jayakumar P","MALE","31.0","GEN","IND","12.0","15.0","239268.0","225.0","206718.0","0.11","87.0","0.04","86.4","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Panruti","GEN","Krishnaraj S","MALE","31.0","GEN","IND","13.0","15.0","247548.0","68.0","197049.0","0.03","20.0","0.01","79.6","0.0","4.0"
"2016","5","West Bengal","19","16.0","Kulti","GEN","Kallol Ray","MALE","51.0","GEN","SUCI","6.0","6.0","230360.0","1629.0","168963.0","0.96","350.0","0.21","73.35","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Kovilpatti","GEN","Arumairaj S","MALE","26.0","GEN","BSP","6.0","14.0","181097.0","1107.0","130723.0","0.85","39.0","0.03","72.18","0.0","4.0"
"2009","5","Andhra Pradesh","28","13.0","Devarakonda","ST","Ravindra Kumar Ramavath","MALE","37.0","ST","CPI","2.0","7.0","202733.0","57419.0","147251.0","38.99","40991.0","27.84","72.63","0.0","4.0"
"2016","5","West Bengal","19","16.0","Purulia","GEN","Dhiren Rajak","MALE","58.0","GEN","IND","7.0","12.0","227703.0","1199.0","182528.0","0.66","195.0","0.11","80.16","0.0","4.0"
"2016","5","Kerala","32","15.0","Tanur","GEN","Nota","None","","GEN","NOTA","9.0","13.0","176077.0","569.0","140838.0","0.4","397.0","0.28","79.99","0.0","4.0"
"2011","2","West Bengal","19","15.0","Tollygunj","GEN","Partha Pratim Biswas","MALE","45.0","GEN","CPM","2.0","6.0","234411.0","75063.0","182917.0","41.04","72132.0","39.43","78.03","0.0","4.0"
"2009","5","Andhra Pradesh","28","13.0","Dubbak","GEN","Gondhi Bhujangam","MALE","42.0","GEN","IND","9.0","12.0","181132.0","1166.0","142535.0","0.82","48.0","0.03","78.69","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Lucknow West","GEN","Rahul Kumar Verma","MALE","25.0","GEN","BJKD","14.0","23.0","340251.0","350.0","169342.0","0.21","20.0","0.01","49.77","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Guntur West","GEN","Nota","None","","None","NOTA","6.0","35.0","265258.0","769.0","174645.0","0.44","376.0","0.22","65.84","0.0","4.0"
"2021","5","Assam","18","15.0","Jalukbari","GEN","Himanta Biswa Sarma","MALE","52.0","GEN","BJP","1.0","5.0","205206.0","130762.0","168967.0","77.39","101911.0","60.31","82.34","0.0","4.0"
"2014","5","Andhra Pradesh","28","14.0","Visakhapatnam South","GEN","Shaik Abdul Muneer","MALE","55.0","GEN","AAAP","7.0","15.0","197541.0","554.0","129613.0","0.43","31.0","0.02","65.61","0.0","4.0"
