Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2019","10","Maharashtra","27","13.0","Badnapur","SC","Choudhari Rupkumar Alias Bablu Nehrulal","MALE","53.0","SC","NCP","2.0","15.0","307973.0","86700.0","211577.0","40.98","76831.0","36.31","68.7","0.0","4.0"
"2018","5","Karnataka","29","10.0","Bidar South","GEN","Narsappa","MALE","","GEN","IND","13.0","13.0","196623.0","265.0","138887.0","0.19","25.0","0.02","70.64","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Anthiyur","GEN","Muthusamy M","MALE","35.0","GEN","IND","12.0","20.0","221338.0","428.0","176385.0","0.24","199.0","0.11","79.69","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Mailam","GEN","Chandra Prakash R","MALE","26.0","GEN","IND","12.0","14.0","222627.0","249.0","176989.0","0.14","105.0","0.06","79.5","0.0","4.0"
"2011","5","Kerala","32","14.0","Nemom","GEN","J Vikraman","MALE","47.0","GEN","DPSP","7.0","8.0","172493.0","303.0","116474.0","0.26","86.0","0.07","67.52","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Pindra","GEN","Jaswant","MALE","39.0","GEN","RPI(A)","13.0","12.0","342536.0","514.0","204375.0","0.25","0.0","0.0","59.67","0.0","4.0"
"2014","12","Jharkhand","20","3.0","Jama","ST","Santosh Hansda","MALE","27.0","ST","IND","13.0","15.0","187170.0","954.0","133778.0","0.71","50.0","0.04","71.47","0.0","4.0"
"2014","5","Telangana","36","1.0","Musheerabad","GEN","Dr K Laxman","MALE","58.0","GEN","BJP","1.0","23.0","275194.0","65209.0","150884.0","43.22","27386.0","18.15","54.83","0.0","4.0"
"2021","5","West Bengal","19","17.0","Bally","GEN","Nota","None","","GEN","NOTA","4.0","11.0","176489.0","1205.0","125872.0","0.96","618.0","0.49","71.32","0.0","4.0"
"2016","5","Assam","18","14.0","Patharkandi","GEN","Krishnendu Paul","MALE","42.0","GEN","BJP","1.0","11.0","155472.0","46544.0","122694.0","37.94","9268.0","7.55","78.92","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Allahabad South","GEN","Satish Kesharwani","MALE","34.0","GEN","RSAD","6.0","21.0","392097.0","801.0","177063.0","0.45","129.0","0.07","45.16","0.0","4.0"
"2018","12","Chhattisgarh","22","4.0","Arang","SC","Dr Shivkumar Dahariya","MALE","","SC","INC","1.0","16.0","201900.0","69900.0","154978.0","45.1","25077.0","16.18","76.76","0.0","4.0"
"2009","10","Haryana","06","11.0","Radaur","GEN","Balvinder Singh","MALE","44.0","GEN","NCP","15.0","15.0","146594.0","352.0","115098.0","0.31","0.0","0.0","78.51","0.0","4.0"
"2012","5","Andhra Pradesh","28","13.0","Rajampet","GEN","S.Chandranath. A.","MALE","","None","NTRTDP(LP)","16.0","19.0","185475.0","269.0","146615.0","0.18","43.0","0.03","79.05","1.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Powayan","SC","Chandrakala","FEMALE","35.0","SC","IND","9.0","11.0","361653.0","823.0","229205.0","0.36","131.0","0.06","63.38","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Karur","GEN","Muthukumar G","MALE","48.0","GEN","IND","63.0","77.0","248067.0","8.0","207310.0","0.0","1.0","0.0","83.57","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Aurangabad Central","GEN","Pradeep Jaiswal","MALE","54.0","GEN","SHS","2.0","18.0","286978.0","41861.0","188469.0","22.21","1091.0","0.58","65.67","0.0","4.0"
"2014","10","Haryana","06","12.0","Faridabad Nit","GEN","Dinesh Rai","MALE","37.0","GEN","IND","16.0","16.0","213818.0","149.0","143166.0","0.1","93.0","0.06","66.96","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Didarganj","GEN","Kunj Bihari Yadav","MALE","40.0","GEN","RSBP","12.0","12.0","322374.0","493.0","176037.0","0.28","0.0","0.0","54.61","0.0","4.0"
"2014","5","Andhra Pradesh","28","14.0","Pedakurapadu","GEN","V. Sai Prabhakar","MALE","41.0","GEN","PPOI","7.0","9.0","201155.0","585.0","179421.0","0.33","315.0","0.18","89.2","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Sirsaganj","GEN","Suresh Chandra","MALE","38.0","GEN","NLP","18.0","23.0","288186.0","301.0","185863.0","0.16","10.0","0.01","64.49","0.0","4.0"
